lat	lon	title	description	iconSize	iconOffset	icon
5389071.4003559	1464486.1710129	FreeGLOO	<a href="http://freegloo.wordpress.com/">http://freegloo.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5391039.1645834	1476293.2100579	Lug-Jesi	<a href="http://www.lugjesi.net/">http://www.lugjesi.net/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5362749.5357523	1436851.6058846	PDP FSUG	<a href="http://pdp.linux.it/">http://pdp.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5416395.5808159	1469592.9286212	SenaLUG	<a href="http://www.senalug.org/">http://www.senalug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5327216.586296	1511441.7678667	Fermo Lug	<a href="http://www.linuxfm.org/">http://www.linuxfm.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5359884.2452839	1523435.7701269	CMlug	<a href="http://www.cmlug.org/">http://www.cmlug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5340931.1885221	1473852.0111406	Gruppo Linux Macerata	<a href="http://www.gruppolinuxmc.it">http://www.gruppolinuxmc.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5332776.9603557	1455603.2481719	Camelug	<a href="http://camelug.it">http://camelug.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5425269.5457693	1405366.0649193	Urbino-LUG	<a href="http://urbino-lug.tumblr.com/">http://urbino-lug.tumblr.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5436491.4769713	1446708.1529465	Fortunae Lug	<a href="http://www.fanolug.org">http://www.fanolug.org</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5594653.8964552	964400.29603065	AlLug	<a href="http://www.allug.it">http://www.allug.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5594653.8964552	964400.29603065	FASoLi	<a href="http://softwarelibero.al.it/">http://softwarelibero.al.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5713844.995606	901237.20587865	BiLug	<a href="http://www.bilug.linux.it/">http://www.bilug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5599378.3767579	861308.33046686	ABC Lug	<a href="http://abc.linux.it">http://abc.linux.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5698378.8708389	969851.34245719	Gallug	<a href="http://www.gallug.it/">http://www.gallug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5644472.9413449	828228.10136082	GlugTO	<a href="http://www.torino.linux.it/">http://www.torino.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5604487.7277496	818088.80370388	SLIP	<a href="http://pinerolo.linux.it/">http://pinerolo.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5642978.2788463	787878.08563888	ValSusinux	<a href="http://www.valsusinux.it/">http://www.valsusinux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5693427.4584964	878608.64370116	IvLug	<a href="http://www.ivlug.it/">http://www.ivlug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5010268.7811436	1848878.3057799	LugBari	<a href="http://lugbari.org/">http://lugbari.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4955035.6893544	1969414.0254262	BriLug	<a href="http://www.brilug.it/">http://www.brilug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4949723.808893	1970917.7494279	LatLug	<a href="http://www.latlug.org/">http://www.latlug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4945106.1191948	1914957.6962118	SaLug	<a href="http://salug.it/">http://salug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4957680.7603186	968542.49333609	Plugs	<a href="http://www.plugs.it/">http://www.plugs.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4776245.6480903	1020394.2488247	GULCh	<a href="http://www.gulch.crs4.it/">http://www.gulch.crs4.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4864170.0769205	970884.88707051	GNUraghe	<a href="http://www.gnuraghe.org/">http://www.gnuraghe.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4489037.1645872	1566688.026267	VPLug	<a href="http://www.vplug.it/">http://www.vplug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4510911.5150143	1650871.8282261	CataniaLUG	<a href="http://catania.linux.it/">http://catania.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4510911.5150143	1650871.8282261	EtnaLUG	<a href="http://sites.google.com/site/etnalug/">http://sites.google.com/site/etnalug/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4520514.8257674	1606344.4431187	EnnaLUG	<a href="http://leonforte.linux.it/">http://leonforte.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4606530.5204448	1726687.2066591	Lug Messina	<a href="http://www.messinalug.org/">http://www.messinalug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4560999.944128	1512457.6977319	SputniX	<a href="http://www.sputnix.it/">http://www.sputnix.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4426317.343968	1634492.6221971	SoLiRa	<a href="http://www.solira.org/">http://www.solira.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
